id,ACTION
1,0.676555
2,0.728797
3,0.834995
4,0.834621
5,0.838086
6,0.834808
7,0.756459
8,0.838452
9,0.777125
10,0.826428
11,0.827117
12,0.829122
13,0.832999
14,0.735884
15,0.785042
16,0.822367
17,0.643027
18,0.774200
19,0.835981
20,0.834949
21,0.837843
22,0.832415
23,0.826214
24,0.828616
25,0.834501
26,0.785958
27,0.833777
28,0.829012
29,0.830743
30,0.807331
31,0.834293
32,0.831129
33,0.834296
34,0.835097
35,0.833834
36,0.832139
37,0.833942
38,0.839447
39,0.799284
40,0.824007
41,0.820178
42,0.834404
43,0.832412
44,0.834833
45,0.834260
46,0.832146
47,0.835820
48,0.830379
49,0.839912
50,0.835548
51,0.832020
52,0.834767
53,0.832317
54,0.835185
55,0.832221
56,0.833242
57,0.832923
58,0.837471
59,0.834122
60,0.833580
61,0.835003
62,0.836908
63,0.830698
64,0.836028
65,0.837642
66,0.798724
67,0.832665
68,0.835604
69,0.766480
70,0.644365
71,0.831255
72,0.831729
73,0.835056
74,0.836565
75,0.832951
76,0.836662
77,0.835496
78,0.825734
79,0.432332
80,0.836852
81,0.865639
82,0.834523
83,0.824569
84,0.835495
85,0.832159
86,0.789026
87,0.829019
88,0.835547
89,0.834474
90,0.755437
91,0.800356
92,0.764497
93,0.835565
94,0.830430
95,0.832908
96,0.835684
97,0.489268
98,0.837094
99,0.833882
100,0.835006
101,0.829140
102,0.585692
103,0.834528
104,0.832631
105,0.429118
106,0.834862
107,0.835876
108,0.827976
109,0.833303
110,0.830058
111,0.682725
112,0.829842
113,0.830555
114,0.835215
115,0.829345
116,0.827499
117,0.799891
118,0.823340
119,0.836952
120,0.831524
121,0.820493
122,0.833535
123,0.802521
124,0.835224
125,0.832972
126,0.779985
127,0.734872
128,0.754688
129,0.813697
130,0.835601
131,0.835839
132,0.835920
133,0.833224
134,0.705367
135,0.835732
136,0.823217
137,0.836245
138,0.815514
139,0.821919
140,0.835666
141,0.804247
142,0.759782
143,0.835220
144,0.834803
145,0.835996
146,0.704496
147,0.761648
148,0.775780
149,0.837406
150,0.832986
151,0.835576
152,0.656240
153,0.835016
154,0.822738
155,0.827882
156,0.825831
157,0.799431
158,0.833096
159,0.728321
160,0.825505
161,0.688490
162,0.835111
163,0.837259
164,0.828562
165,0.833133
166,0.835974
167,0.794282
168,0.833129
169,0.832821
170,0.834900
171,0.835296
172,0.832587
173,0.690914
174,0.834579
175,0.833236
176,0.866078
177,0.722340
178,0.834250
179,0.837932
180,0.809790
181,0.458662
182,0.833122
183,0.750969
184,0.808726
185,0.832940
186,0.793034
187,0.835473
188,0.798011
189,0.607334
190,0.834024
191,0.835945
192,0.834998
193,0.835965
194,0.834202
195,0.824798
196,0.835391
197,0.833874
198,0.828841
199,0.833944
200,0.594354
201,0.834960
202,0.833012
203,0.821310
204,0.766929
205,0.835873
206,0.832576
207,0.835019
208,0.831587
209,0.591968
210,0.594717
211,0.789415
212,0.833739
213,0.835566
214,0.829821
215,0.833152
216,0.739984
217,0.820094
218,0.835242
219,0.834436
220,0.828070
221,0.551252
222,0.837552
223,0.835943
224,0.833703
225,0.823610
226,0.729316
227,0.826403
228,0.833500
229,0.835721
230,0.835047
231,0.830282
232,0.788429
233,0.791480
234,0.305616
235,0.738952
236,0.824054
237,0.825682
238,0.831880
239,0.772952
240,0.836067
241,0.830542
242,0.618328
243,0.462080
244,0.833082
245,0.831783
246,0.838672
247,0.830257
248,0.831276
249,0.832441
250,0.835811
251,0.836086
252,0.657209
253,0.835737
254,0.835766
255,0.837358
256,0.828374
257,0.831453
258,0.816206
259,0.831555
260,0.836260
261,0.833706
262,0.826022
263,0.834132
264,0.835463
265,0.835466
266,0.832937
267,0.829208
268,0.835131
269,0.831475
270,0.835125
271,0.835096
272,0.827278
273,0.835645
274,0.570456
275,0.836090
276,0.641116
277,0.836104
278,0.835873
279,0.765223
280,0.816583
281,0.838203
282,0.836360
283,0.717802
284,0.819362
285,0.835363
286,0.833482
287,0.838346
288,0.835063
289,0.834200
290,0.834549
291,0.652112
292,0.775455
293,0.835790
294,0.832129
295,0.833699
296,0.346301
297,0.467084
298,0.829371
299,0.761287
300,0.835081
301,0.738696
302,0.835036
303,0.688577
304,0.805033
305,0.833587
306,0.834193
307,0.829300
308,0.838348
309,0.819114
310,0.829697
311,0.836194
312,0.836114
313,0.834102
314,0.837663
315,0.837447
316,0.835459
317,0.757220
318,0.835420
319,0.714424
320,0.837686
321,0.834863
322,0.337532
323,0.836006
324,0.833685
325,0.753731
326,0.745951
327,0.836422
328,0.836211
329,0.835393
330,0.834859
331,0.834307
332,0.826172
333,0.834131
334,0.813721
335,0.834093
336,0.829797
337,0.831746
338,0.835931
339,0.832719
340,0.833912
341,0.836161
342,0.833714
343,0.830165
344,0.835975
345,0.838177
346,0.835330
347,0.831863
348,0.829564
349,0.838621
350,0.786318
351,0.824525
352,0.838806
353,0.831212
354,0.527330
355,0.831249
356,0.834908
357,0.800518
358,0.834905
359,0.828305
360,0.504608
361,0.823753
362,0.797800
363,0.828190
364,0.773002
365,0.835943
366,0.835972
367,0.834781
368,0.835766
369,0.833150
370,0.834436
371,0.832045
372,0.834839
373,0.701539
374,0.427615
375,0.820382
376,0.833334
377,0.531255
378,0.833522
379,0.838295
380,0.772989
381,0.689395
382,0.830584
383,0.838810
384,0.800847
385,0.834135
386,0.830754
387,0.618373
388,0.729491
389,0.833695
390,0.834296
391,0.799661
392,0.837786
393,0.817777
394,0.833981
395,0.828240
396,0.834405
397,0.836032
398,0.830481
399,0.835078
400,0.834656
401,0.835142
402,0.834044
403,0.765148
404,0.829833
405,0.865888
406,0.832167
407,0.811824
408,0.834126
409,0.793841
410,0.835499
411,0.837588
412,0.789259
413,0.789641
414,0.834627
415,0.832431
416,0.814889
417,0.832654
418,0.833061
419,0.835144
420,0.832999
421,0.837731
422,0.833054
423,0.821788
424,0.752707
425,0.834695
426,0.827171
427,0.835593
428,0.833410
429,0.822527
430,0.836464
431,0.830731
432,0.798001
433,0.831369
434,0.830324
435,0.767154
436,0.838759
437,0.834297
438,0.235138
439,0.828690
440,0.351504
441,0.832833
442,0.836081
443,0.834934
444,0.834056
445,0.788250
446,0.835910
447,0.699070
448,0.834809
449,0.832971
450,0.830566
451,0.749013
452,0.832500
453,0.835203
454,0.819729
455,0.833853
456,0.833656
457,0.837200
458,0.834948
459,0.835086
460,0.642872
461,0.777432
462,0.837380
463,0.833640
464,0.834097
465,0.830465
466,0.835891
467,0.458279
468,0.829208
469,0.832546
470,0.833567
471,0.834193
472,0.800873
473,0.835588
474,0.863188
475,0.826610
476,0.833535
477,0.835078
478,0.834279
479,0.836668
480,0.837260
481,0.837436
482,0.829170
483,0.836407
484,0.830208
485,0.795815
486,0.812045
487,0.830308
488,0.834593
489,0.834614
490,0.796383
491,0.835480
492,0.831981
493,0.831706
494,0.832845
495,0.835653
496,0.836609
497,0.837352
498,0.836037
